               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.053413,             0.18581,            0.030896,             0.52199,              0.3544,             0.32273,             0.19638,            0.058269,             0.17663,            0.036885,            0.002872,            0.002872,            0.002872
                  38,            0.053541,             0.18551,            0.030909,             0.52801,             0.35384,             0.32187,              0.1937,            0.057945,             0.17569,             0.03653,            0.002674,            0.002674,            0.002674
                  39,            0.052936,             0.18667,            0.030403,             0.52119,             0.34056,             0.31973,             0.19347,            0.057886,              0.1769,            0.036836,            0.002476,            0.002476,            0.002476
                  40,            0.052658,             0.18378,            0.030412,              0.5378,             0.33638,             0.32475,             0.19785,            0.058459,             0.17757,            0.037184,            0.002278,            0.002278,            0.002278
                  41,             0.05274,             0.18449,            0.030446,             0.54315,             0.32703,              0.3249,             0.19833,            0.058191,             0.17763,            0.036783,             0.00208,             0.00208,             0.00208
                  42,            0.052597,             0.18255,            0.030295,             0.53615,             0.33899,             0.32537,             0.19631,            0.057681,             0.17664,            0.036704,            0.001882,            0.001882,            0.001882
                  43,            0.052667,             0.18391,            0.030187,             0.52624,             0.34514,             0.32786,             0.20149,            0.058138,             0.17725,            0.036965,            0.001684,            0.001684,            0.001684
                  44,            0.052209,             0.18195,            0.030239,             0.53584,              0.3551,               0.332,             0.20306,            0.057693,             0.17613,            0.036623,            0.001486,            0.001486,            0.001486
                  45,            0.052117,             0.18411,            0.029843,             0.52084,             0.36305,                0.33,             0.20209,            0.057862,             0.17726,            0.036876,            0.001288,            0.001288,            0.001288
                  46,            0.051563,              0.1801,            0.029665,              0.5066,             0.35908,             0.32241,             0.19668,            0.057825,             0.17744,            0.037157,             0.00109,             0.00109,             0.00109
                  47,            0.052349,             0.18224,            0.029859,             0.51701,             0.35589,             0.32966,             0.20251,             0.05787,             0.17778,            0.036967,            0.000892,            0.000892,            0.000892
                  48,            0.051247,             0.18054,             0.02939,             0.52735,              0.3532,             0.33174,             0.20548,            0.057728,             0.17826,            0.036998,            0.000694,            0.000694,            0.000694
                  49,            0.052247,             0.18118,             0.02944,              0.5115,             0.36961,             0.33582,             0.20658,            0.057772,             0.17699,            0.036945,            0.000496,            0.000496,            0.000496
